All device pins and their pinmux options
Pin,Name,Selected Mode,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
1,GPIO29,GPIO29,GPIO29,SCIA_TX,,EPWM7_B,GPIO29,OUTPUTXBAR6,EQEP1_B,,GPIO29,,SCIC_RX,SPIA_STE,GPIO29,ERRORSTS,I2CB_SCL,
2,A16/C16/ GPIO28,GPIO28,GPIO28,SCIA_RX,,EPWM7_A,GPIO28,OUTPUTXBAR5,EQEP1_A,,GPIO28,,SCIC_TX,SPIA_CLK,GPIO28,ERRORSTS,I2CB_SDA,
3,XRSn,XRSn
4,A6/ C6/ GPIO226/ GPIO228,GPIO226,GPIO226,,,,GPIO226,EPWM6_A,SPIA_CLK,,GPIO226,EPWM1_B,,EQEP1_STROBE,GPIO226,,SCIC_RX,
4,A6/ C6/ GPIO226/ GPIO228,,GPIO228,,,ADCSOCAO,GPIO228,CANA_TX,SPIA_SOMI,,GPIO228,EPWM2_B,,EQEP1_B,GPIO228,,,
5,A3/C5/ GPIO242,GPIO242,GPIO242,,,,GPIO242,OUTPUTXBAR2,SPIA_STE,,GPIO242,EPWM4_A,CANA_RX,EQEP1_INDEX,GPIO242,,,
6,A2/C9/ GPIO224,GPIO224,GPIO224,,,,GPIO224,OUTPUTXBAR3,SPIA_SIMO,,GPIO224,EPWM1_A,CANA_TX,EQEP1_A,GPIO224,,SCIC_TX,
7,A15/C7/ C4/A14,,AIO233,,,,,,,,,,,,,,,
7,A15/C7/ C4/A14,,AIO239,,,,,,,,,,,,,,,
8,A11/C0,,AIO237,,,,,,,,,,,,,,,
9,A5/C2,,AIO244,,,,,,,,,,,,,,,
10,A1,,AIO232,,,,,,,,,,,,,,,
11,A0/C15/CMP1_DACL,,AIO231,,,,,,,,,,,,,,,
12,VREFHI,VREFHI
13,VREFLO,VREFLO
14,A12/C1,,AIO238,,,,,,,,,,,,,,,
15,A7/C3,,AIO245,,,,,,,,,,,,,,,
16,A8/C11,,AIO241,,,,,,,,,,,,,,,
17,VSSA,VSSA
18,VDDA,VDDA
19,A4/C14,,AIO225,,,,,,,,,,,,,,,
20,C8/A9/ GPIO227,GPIO227,GPIO227,I2CB_SCL,,EPWM3_A,GPIO227,OUTPUTXBAR1,EPWM2_B,,GPIO227,,,,GPIO227,,,
21,A10/C10/ GPIO230,GPIO230,GPIO230,I2CB_SDA,,EPWM3_B,GPIO230,CANA_RX,EPWM2_A,I2CA_SDA,GPIO230,,,,GPIO230,,,
22,VSS,VSS
23,A19/C19/ GPIO13,GPIO13,GPIO13,EPWM7_B,,,GPIO13,EQEP1_INDEX,SCIB_RX,,GPIO13,,,SPIA_SOMI,GPIO13,CANA_TX,,
24,A20/C20/ GPIO12,GPIO12,GPIO12,EPWM7_A,,,GPIO12,EQEP1_STROBE,SCIB_TX,,GPIO12,,,SPIA_CLK,GPIO12,CANA_RX,,
25,GPIO33,GPIO33,GPIO33,I2CA_SCL,,,GPIO33,OUTPUTXBAR4,SCIC_RX,,GPIO33,,CANA_RX,,GPIO33,ADCSOCAO,,
26,GPIO16,GPIO16,GPIO16,SPIA_SIMO,,OUTPUTXBAR7,GPIO16,EPWM5_A,SCIA_TX,,GPIO16,EQEP1_STROBE,,XCLKOUT,GPIO16,,,
27,GPIO24,,GPIO24,OUTPUTXBAR1,,SPIA_STE,GPIO24,EPWM4_A,SPIA_SIMO,,GPIO24,,,SCIA_TX,GPIO24,ERRORSTS,,
28,TCK,TCK
29,GPIO37/TDO,,GPIO37,OUTPUTXBAR2,SPIA_STE,I2CA_SCL,GPIO37,SCIA_TX,CANA_TX,SCIC_TX,GPIO37,EQEP1_B,,EPWM5_A,GPIO37,,,TDO
30,TMS,TMS
31,GPIO35/TDI,,GPIO35,SCIA_RX,SPIA_SOMI,I2CA_SDA,GPIO35,CANA_RX,,SCIC_RX,GPIO35,EQEP1_A,,EPWM5_B,GPIO35,,,TDI
32,GPIO32,,GPIO32,I2CA_SDA,EQEP1_INDEX,SPIA_CLK,GPIO32,EPWM4_B,SCIC_TX,,GPIO32,,CANA_TX,,GPIO32,ADCSOCBO,,
33,GPIO18/ X2,GPIO18,GPIO18,SPIA_CLK,SCIB_TX,CANA_RX,GPIO18,EPWM6_A,I2CA_SCL,,GPIO18,,,XCLKOUT,GPIO18,,,
34,GPIO19/ X1,,GPIO19,SPIA_STE,SCIB_RX,CANA_TX,GPIO19,EPWM6_B,I2CA_SDA,,GPIO19,,,,GPIO19,,,
35,VDDIO,VDDIO
36,VDD,VDD
37,VSS,VSS
38,GPIO4,GPIO4,GPIO4,EPWM3_A,I2CA_SCL,,GPIO4,OUTPUTXBAR3,CANA_TX,,GPIO4,,,,GPIO4,,SPIA_SOMI,EPWM1_A
39,GPIO3,GPIO3,GPIO3,EPWM2_B,OUTPUTXBAR2,,GPIO3,OUTPUTXBAR2,,SPIA_CLK,GPIO3,SCIA_RX,,I2CB_SCL,GPIO3,,CANA_RX,EPWM4_B
40,GPIO2,GPIO2,GPIO2,EPWM2_A,,,GPIO2,OUTPUTXBAR1,,SPIA_SIMO,GPIO2,SCIA_TX,,I2CB_SDA,GPIO2,,CANA_TX,EPWM4_A
41,GPIO1,SCIA_TX,GPIO1,EPWM1_B,,,GPIO1,SCIA_TX,I2CA_SCL,SPIA_SOMI,GPIO1,EQEP1_STROBE,,,GPIO1,,,EPWM3_B
42,GPIO0,SCIA_RX,GPIO0,EPWM1_A,CANA_RX,OUTPUTXBAR7,GPIO0,SCIA_RX,I2CA_SDA,SPIA_STE,GPIO0,,,,GPIO0,EQEP1_INDEX,,EPWM3_A
43,GPIO7,GPIO7,GPIO7,EPWM4_B,EPWM2_A,OUTPUTXBAR5,GPIO7,EQEP1_B,,SPIA_SIMO,GPIO7,,,SCIA_TX,GPIO7,,CANA_TX,EPWM2_B
44,VSS,VSS
45,VDD,VDD
46,VDDIO,VDDIO
47,GPIO5,GPIO5,GPIO5,EPWM3_B,I2CA_SDA,OUTPUTXBAR3,GPIO5,,CANA_RX,SPIA_STE,GPIO5,,,SCIA_RX,GPIO5,,,EPWM1_B
48,GPIO6,GPIO6,GPIO6,EPWM4_A,OUTPUTXBAR4,SYNCOUT,GPIO6,EQEP1_A,,,GPIO6,,,,GPIO6,,,EPWM2_A

